#{"t_start": 1753683632.3801727, "env_id": "None"}
r,l,t
-12.0,1,1.193802
5.0,1,1.193978
4.0,1,1.194143
7.0,1,1.194787
5.0,1,1.194984
5.0,1,1.195153
2.0,1,1.195323
1.0,1,1.195969
1.0,1,1.196168
4.0,1,1.196369
-10.0,1,1.19655
6.0,1,1.197155
4.0,1,1.197376
-12.0,1,1.197562
-11.0,1,1.197732
6.0,1,1.198372
6.0,1,1.19857
1.0,1,1.198739
0.0,1,1.198906
-10.0,1,1.199551
-10.0,1,1.199746
5.0,1,1.199917
-11.0,1,1.200083
10.0,1,1.200725
1.0,1,1.200919
-10.0,1,1.20109
4.0,1,1.201256
10.0,1,1.201896
5.0,1,1.202089
5.0,1,1.202259
5.0,1,1.202463
5.0,1,1.203075
2.0,1,1.203269
4.0,1,1.20348
5.0,1,1.203655
4.0,1,1.204253
7.0,1,1.204477
1.0,1,1.204654
6.0,1,1.204819
-10.0,1,1.205442
5.0,1,1.205637
1.0,1,1.205809
-10.0,1,1.205978
2.0,1,1.206589
5.0,1,1.20678
3.0,1,1.20695
3.0,1,1.207115
3.0,1,1.207749
4.0,1,1.207943
2.0,1,1.208112
-8.0,1,1.208278
2.0,1,1.208926
-11.0,1,1.209117
1.0,1,1.209286
3.0,1,1.209497
3.0,1,1.210099
5.0,1,1.210293
1.0,1,1.210499
4.0,1,1.210673
2.0,1,1.211271
4.0,1,1.211493
2.0,1,1.211667
5.0,1,1.211831
5.0,1,1.212449
1.0,1,1.21264
0.0,1,1.212808
-10.0,1,1.212982
6.0,1,1.213579
3.0,1,1.213769
-10.0,1,1.213935
4.0,1,1.214098
10.0,1,1.214712
6.0,1,1.214904
10.0,1,1.215072
-10.0,1,1.215237
2.0,1,1.215861
2.0,1,1.216052
4.0,1,1.21622
3.0,1,1.216419
4.0,1,1.217026
1.0,1,1.217214
-10.0,1,1.217416
-11.0,1,1.21759
4.0,1,1.218184
5.0,1,1.218404
6.0,1,1.21858
5.0,1,1.218742
1.0,1,1.219332
2.0,1,1.219549
5.0,1,1.219716
3.0,1,1.219879
5.0,1,1.220512
10.0,1,1.220702
-10.0,1,1.220876
-10.0,1,1.221039
1.0,1,1.221654
2.0,1,1.221845
4.0,1,1.222014
3.0,1,1.222178
-10.0,1,1.222797
1.0,1,1.222988
5.0,1,1.223156
6.0,1,1.223323
3.0,1,1.223958
4.0,1,1.224149
2.0,1,1.224326
3.0,1,1.224532
2.0,1,1.22513
2.0,1,1.22532
-11.0,1,1.225526
5.0,1,1.225696
-10.0,1,1.226296
1.0,1,1.226515
4.0,1,1.226698
6.0,1,1.226862
5.0,1,1.227488
3.0,1,1.227681
-10.0,1,1.227849
7.0,1,1.228016
4.0,1,1.228657
-10.0,1,1.228852
-12.0,1,1.229028
0.0,1,1.229193
3.0,1,1.229824
0.0,1,1.230016
3.0,1,1.230192
1.0,1,1.23039
2.0,1,1.231023
-12.0,1,1.231211
-10.0,1,1.231424
2.0,1,1.231601
-11.0,1,1.232202
-10.0,1,1.232427
4.0,1,1.232615
6.0,1,1.23278
4.0,1,1.233406
0.0,1,1.233598
0.0,1,1.233763
0.0,1,1.233924
5.0,1,1.234544
2.0,1,1.234734
1.0,1,1.2349
-11.0,1,1.235063
3.0,1,1.235678
5.0,1,1.23587
7.0,1,1.236037
-10.0,1,1.236211
1.0,1,1.236834
3.0,1,1.237024
-12.0,1,1.237189
-10.0,1,1.237386
1.0,1,1.237989
3.0,1,1.238174
2.0,1,1.238368
-10.0,1,1.23855
4.0,1,1.239159
-11.0,1,1.239378
5.0,1,1.239558
5.0,1,1.239723
3.0,1,1.240321
2.0,1,1.240541
5.0,1,1.240712
-12.0,1,1.240877
6.0,1,1.241503
4.0,1,1.241693
2.0,1,1.24186
10.0,1,1.242025
7.0,1,1.242642
4.0,1,1.242841
-10.0,1,1.243019
-11.0,1,1.243185
7.0,1,1.243811
10.0,1,1.244006
3.0,1,1.244176
5.0,1,1.244371
1.0,1,1.24498
-11.0,1,1.24517
-11.0,1,1.24537
-11.0,1,1.245553
1.0,1,1.246154
-10.0,1,1.246373
2.0,1,1.246555
7.0,1,1.246721
5.0,1,1.247312
1.0,1,1.247528
10.0,1,1.247705
2.0,1,1.247869
3.0,1,1.248501
5.0,1,1.248697
-10.0,1,1.248869
4.0,1,1.249036
3.0,1,1.249658
5.0,1,1.24985
-8.0,1,1.250031
7.0,1,1.250203
3.0,1,1.25083
5.0,1,1.251021
6.0,1,1.251188
7.0,1,1.251384
-11.0,1,1.251994
1.0,1,1.252181
-12.0,1,1.252381
2.0,1,1.25256
1.0,1,1.253153
2.0,1,1.253371
7.0,1,1.253566
1.0,1,1.253739
1.0,1,1.254331
10.0,1,1.254551
3.0,1,1.254718
3.0,1,1.254879
10.0,1,1.255507
0.0,1,1.255711
2.0,1,1.255889
3.0,1,1.256053
5.0,1,1.256657
4.0,1,1.256849
2.0,1,1.257019
5.0,1,1.257183
5.0,1,1.257807
-12.0,1,1.258005
2.0,1,1.258176
3.0,1,1.258372
2.0,1,1.258988
3.0,1,1.259177
5.0,1,1.259375
6.0,1,1.259554
-10.0,1,1.260151
-10.0,1,1.260374
2.0,1,1.260555
10.0,1,1.260722
5.0,1,1.261327
3.0,1,1.26155
1.0,1,1.261721
4.0,1,1.261886
1.0,1,1.262513
4.0,1,1.262706
1.0,1,1.262876
